duration,orig_bytes,resp_bytes,proto,conn_state,label,label_enc,iso_pred,lof_pred,ensemble_pred,anomaly_score
1.4482816219567317e-06,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,1,0,1,-0.5464637466773425
0.0020340805196492,4.31904427473033e-06,0.0,2,4,Benign,0,1,1,1,-0.797983098127376
2.154354268931022e-07,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,1,0,1,-0.4561074383461206
4.4342787896278216e-08,0.0,0.0,1,8,Benign,0,1,0,1,-0.5284089046621093
4.657895308681421e-07,1.948613393588525e-08,9.241750039064224e-07,2,8,Benign,0,1,1,1,-0.6345840653191116
0.0048771772441149,8.63808854946066e-06,0.0,2,4,Benign,0,1,1,1,-0.8094441696126806
3.428841588898394e-06,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,1,0,1,-0.5837800228182118
1.4133375771471647e-06,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,1,1,1,-0.5443595181875993
1.4514399040465984e-06,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,1,0,1,-0.5464637466773425
2.1541005916547273e-07,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,1,0,1,-0.4561074383461206
4.4342787896278216e-08,0.0,0.0,1,8,Benign,0,1,0,1,-0.5284089046621093
5.102211058111233e-07,1.948613393588525e-08,9.241750039064224e-07,2,8,Benign,0,1,1,1,-0.6352729873937863
3.4290191629917993e-06,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,1,0,1,-0.5837800228182118
1.3912042347904698e-06,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,1,0,1,-0.5436773566314321
1.4513511169998952e-06,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,1,0,1,-0.5464637466773425
2.1535932371021386e-07,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,1,0,1,-0.4561074383461206
0.0207133118724447,3.455235419784264e-05,0.0,2,4,Benign,0,1,1,1,-0.8141698008939592
4.4355471760092933e-08,0.0,0.0,1,8,Benign,0,1,1,1,-0.5284089046621093
2.3229735544839748e-06,1.948613393588525e-08,9.241750039064224e-07,2,8,Benign,0,1,1,1,-0.6548274857038582
3.4543615228936196e-06,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,1,1,1,-0.5837800228182118
1.388058636564418e-06,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,1,1,1,-0.5436773566314321
0.0097164555978222,1.619641603023874e-05,0.0,2,4,Benign,0,1,1,1,-0.8114201736894354
0.000644989911241,2.159522137365165e-06,0.0,2,4,Benign,0,1,1,1,-0.7735357445195868
1.121824335093343e-06,1.0585555699876489e-06,4.573329038623743e-06,1,8,Benign,0,1,0,1,-0.7431768536736167
1.3849003544745516e-06,1.0585555699876489e-06,2.350554431157492e-06,1,8,Benign,0,1,0,1,-0.7258568095597668
6.399516649081294e-07,2.1205498694933948e-08,5.319206614123781e-07,2,8,Benign,0,1,1,1,-0.6082345646128118
5.069740366745537e-08,2.1205498694933948e-08,1.3134577225936934e-06,2,8,Benign,0,1,0,1,-0.6354190801080983
6.316564179732993e-09,2.1205498694933948e-08,2.971623806773063e-07,2,8,Benign,0,1,0,1,-0.5312850913604587
6.329248043547719e-09,2.1205498694933948e-08,3.922543424940442e-07,2,8,Benign,0,1,0,1,-0.5593006981600597
4.4368155623907664e-08,0.0,0.0,1,8,Benign,0,1,1,1,-0.5284089046621093
5.861086630146223e-07,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0,1,0,1,-0.6378558258373439
1.4512369622255628e-06,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,1,0,1,-0.5464637466773425
2.186317605744129e-07,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,1,1,1,-0.4561074383461206
0.0006452031143078,2.159522137365165e-06,0.0,2,4,Benign,0,1,1,1,-0.7735357445195868
3.416373350768519e-06,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,1,1,1,-0.5837800228182118
4.4317420168648754e-08,0.0,0.0,1,8,Benign,0,1,1,1,-0.5284089046621093
4.593207603226324e-07,1.948613393588525e-08,9.241750039064224e-07,2,8,Benign,0,1,1,1,-0.6344012620413367
0.0187823971572994,3.0233309923112314e-05,0.0,2,4,Benign,0,1,1,1,-0.8133439358234538
4.433010403246349e-08,0.0,0.0,1,8,Benign,0,1,0,1,-0.5284089046621093
2.53849776842378e-06,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0,1,1,1,-0.6550819205055267
1.391331073428617e-06,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,1,1,1,-0.5436773566314321
1.473585930267108e-06,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,1,1,1,-0.5470791423121715
2.122137254841621e-07,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,1,1,1,-0.4551311016616008
3.805528244854475e-05,0.0,0.0,1,8,Benign,0,1,1,1,-0.5699105417315866
1.517979453618645e-06,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0,1,0,1,-0.6481945097679842
0.0131008994523263,2.1595221373651654e-05,0.0,2,4,Benign,0,1,1,1,-0.8125189084812869
0.0006447281416596,2.159522137365165e-06,0.0,2,4,Benign,0,1,1,1,-0.7735357445195868
3.4259243002210067e-06,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,1,0,1,-0.5837800228182118
0.0040889089485784,7.558327480778078e-06,0.0,2,4,Benign,0,1,1,1,-0.809170386500781
1.134533566635697e-06,1.0585555699876489e-06,4.573329038623743e-06,1,8,Benign,0,1,0,1,-0.7431768536736167
1.4577945198177751e-06,1.0585555699876489e-06,2.350554431157492e-06,1,8,Benign,0,1,0,1,-0.7258568095597668
2.2881309805849257e-06,2.1205498694933948e-08,5.319206614123781e-07,2,8,Benign,0,1,1,1,-0.630470605970319
4.7577173169033057e-08,2.1205498694933948e-08,1.3134577225936934e-06,2,8,Benign,0,1,0,1,-0.6354190801080983
6.316564179732993e-09,2.1205498694933948e-08,2.971623806773063e-07,2,8,Benign,0,1,0,1,-0.5312850913604587
9.50021399722894e-09,2.1205498694933948e-08,3.922543424940442e-07,2,8,Benign,0,1,0,1,-0.5593006981600597
4.433010403246349e-08,0.0,0.0,1,8,Benign,0,1,0,1,-0.5284089046621093
7.85892201960354e-07,1.948613393588525e-08,9.241750039064224e-07,2,8,Benign,0,1,1,1,-0.6409481751169741
1.3911281316075814e-06,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,1,0,1,-0.5436773566314321
1.4514399040465984e-06,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,1,0,1,-0.5464637466773425
2.1209957070982957e-07,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,1,1,1,-0.4551311016616008
4.1184505806411714e-08,0.0,0.0,1,8,Benign,0,1,1,1,-0.5284089046621093
5.355507818491289e-07,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0,1,1,1,-0.6337704076558855
0.020847794529907,3.3472593129160066e-05,0.0,2,4,Benign,0,1,1,1,-0.8141698008939592
3.4228674890416583e-06,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,1,0,1,-0.5837800228182118
0.00139521586187,3.239283206047748e-06,0.0,2,4,Benign,0,1,1,1,-0.791798289427721
